id,name,country_code,city,website,qs_rank,the_rank
7fbc07e4-ff86-58f1-955c-00cba232407e,Victoria University,AU,,http://www.vu.edu.au/,,
690b893a-97cd-5211-99d4-4e206390137d,Western Sydney University,AU,,https://www.westernsydney.edu.au/,,
7881f38b-bcda-52fc-856f-f25c95756463,Acadia University,CA,,http://www.acadiau.ca/,,
6fded1d9-1e2c-58eb-acfb-517eedf2a00f,Algonquin College,CA,,http://www.algonquincollege.com/,,
592ddd10-5aa7-5253-817b-f8e6c0fa0e90,Ashton College,CA,,http://www.ashtoncollege.com/,,
5d55f0a5-289c-592b-9a20-a3a9099640dc,Assumption University,CA,,http://www.assumptionu.ca/,,
cfb304c9-3914-50a7-beb3-c8295a1dbdfa,Athabasca University,CA,,http://www.athabascau.ca/,,
b3538fe7-cf64-58d4-a1a6-d86f66c52571,Augustana University College,CA,,http://www.augustana.ab.ca/,,
6a66e8a1-bce9-5114-8b52-03be7b7995da,Bishop's University,CA,,http://www.ubishops.ca/,,
62df9954-19b4-54b0-8e6c-b283dc53a3c1,Bow Valley College,CA,,http://www.bowvalleycollege.ca/,,
1a9b521d-4515-5c68-ac5a-1e4e742cdfff,Brandon University,CA,,http://www.brandonu.ca/,,
ac32cb21-5b1b-59bc-84c7-7cc87809faf6,British Columbia Institute of Technology,CA,,http://www.bcit.ca/,,
1ef1ee16-08e7-510e-b186-7d91eb66b416,British Columbia Open University,CA,,http://www.bcou.ca/,,
95851667-1e64-5bcf-8b29-7286e81c7153,Brock University,CA,,http://www.brocku.ca/,,
096855c0-f275-5c66-8654-5510e1dd9c4a,Cambrian College,CA,,https://cambriancollege.ca/,,
bc9d57ee-bbdb-5a60-9aae-57ac8081184b,Camosun College,CA,,http://www.camosun.bc.ca/,,
0458cfde-3345-5469-aca2-fd618dbeb5c9,Canadian College of Business & Computers,CA,,http://www.ccbc.ca/,,
9d026b93-036f-5cba-b2a6-1c3a4984b8fe,Canadian Mennonite University,CA,,http://www.cmu.ca/,,
8598c2c9-dfbd-529f-87c8-6b23b04a1767,Capilano College,CA,,http://www.capcollege.bc.ca/,,
877011ab-7cc4-5ccc-b62b-134318292152,Carleton University,CA,,http://www.carleton.ca/,,
d4eb61d6-9dc3-528d-937a-d4e60e0e767a,Centennial College,CA,,http://www.centennialcollege.ca/,,
69a6f445-c016-5eea-a862-fac3c65cfb14,College of Bois-de-Boulogne,CA,,https://www.bdeb.qc.ca/,,
de6b3354-fb37-5757-bb42-dd7e1076e976,College of New Caledonia,CA,,http://www.cnc.bc.ca/,,
a1af2091-6551-53a5-bcbe-64647b4dde1b,College of the Rockies,CA,,http://www.cotr.bc.ca/,,
aad7954c-8d68-5bd1-8bd3-caa1375eead4,Collège Boréal,CA,,http://www.borealc.on.ca/,,
f8f04602-23bb-5b96-8225-1461cf01877a,Collège Universel Gatineau,CA,,https://collegeuniversel.ca/,,
96f6bca8-fe6e-54fa-8b77-fa13b5af433e,Columbia College,CA,,http://www.columbiacollege.ca/,,
d0bff450-0cd5-57b7-8ddc-d40b66706d1d,Concordia University,CA,,http://www.concordia.ca/,,
ee36226c-bf0a-5235-b389-b677956a90da,Concordia University College of Alberta,CA,,http://www.concordia.ab.ca/,,
2d17870c-99d0-586b-b446-41800b15723d,Conestoga College,CA,,http://www.conestogac.on.ca/,,
c621e7fa-dbe0-5d21-aeb7-af0628cd74fd,Cégep de Saint-Jérôme,CA,,https://www.cstj.qc.ca,,
ec9c9d44-4a93-5904-a059-dbedabcc445f,Dalhousie University,CA,,http://www.dal.ca/,,
082c1438-cb59-5275-9c21-71151bba3204,Dawson College,CA,,https://www.dawsoncollege.qc.ca/,,
